Liverpool (English),Newell's Old Boys (Argentinian)
Liverpool (English),Fenerbahçe (Turkish)
Liverpool (English),Stoke City (English)
Manchester City (English),Fiorentina (Italian)
Manchester City (English),Sunderland (English)
Manchester City (English),Reading (English)
Manchester City (English),Fiorentina (Italian)
Manchester City (English),Milan (Italian)
Manchester City (English),Silkeborg (Danish)
Manchester City (English),Milan (Italian)
Manchester United (English),Stoke City (English)
Manchester United (English),Fulham (English)
Manchester United (English),Queens Park Rangers (English)
Manchester United (English),Queens Park Rangers (English)
Manchester United (English),Juventus (Italian)
Manchester United (English),Tottenham Hotspur (English)
Newcastle United (English),Reading (English)
Newcastle United (English),St Johnstone (Scottish)
Newcastle United (English),Chelsea (English)
Newcastle United (English),St Mirren (Scottish)
Newcastle United (English),Sligo Rovers (Irish)
Newcastle United (English),Diósgyőr (Hungarian)
Norwich City (English),Tottenham Hotspur (English)
Queens Park Rangers (English),Palermo (Italian)
Queens Park Rangers (English),Marseille (French)
Queens Park Rangers (English),St Johnstone (Scottish)
Queens Park Rangers (English),VfB Stuttgart (German)
Queens Park Rangers (English),Dynamo Kiev (Ukrainian)
Queens Park Rangers (English),Bursaspor (Turkish)
Queens Park Rangers (English),Inverness Caledonian Thistle (Scottish)
Sunderland (English),Norwich City (English)
Sunderland (English),Fulham (English)
Sunderland (English),Augsburg (German)
Sunderland (English),VfL Wolfsburg (German)
Sunderland (English),Juventus (Italian)
Swansea City (English),Tottenham Hotspur (English)
Swansea City (English),Sunderland (English)
Swansea City (English),Manchester City (English)
Swansea City (English),Liverpool (English)
Swansea City (English),St Johnstone (Scottish)
Swansea City (English),Tottenham Hotspur (English)
Tottenham Hotspur (English),1899 Hoffenheim (German)
Tottenham Hotspur (English),Hamburger SV (German)
Tottenham Hotspur (English),Real Madrid (Spanish)
Tottenham Hotspur (English),Lazio (Italian)
Tottenham Hotspur (English),Mallorca (Spanish)
Tottenham Hotspur (English),Dynamo Kiev (Ukrainian)
Tottenham Hotspur (English),Sunderland (English)
Tottenham Hotspur (English),Queens Park Rangers (English)
Tottenham Hotspur (English),PAOK (Greek)
West Bromwich Albion (English),Augsburg (German)
West Bromwich Albion (English),Asteras Tripolis (Greek)
West Bromwich Albion (English),Reading (English)
West Bromwich Albion (English),Wigan Athletic (English)
Wigan Athletic (English),Colorado Rapids (USA)
Wigan Athletic (English),Chelsea (English)
Wigan Athletic (English),Fulham (English)
Wigan Athletic (English),West Ham United (English)
Wolverhampton Wanderers (English),Stoke City (English)
Wolverhampton Wanderers (English),Sunderland (English)
Wolverhampton Wanderers (English),Fulham (English)
Wolverhampton Wanderers (English),West Ham United (English)
Wolverhampton Wanderers (English),Norwich City (English)
Wolverhampton Wanderers (English),Ajaccio (French)
Atalanta (Italian),Genoa (Italian)
Atalanta (Italian),Internazionale (Italian)
Atalanta (Italian),Juventus (Italian)
Atalanta (Italian),Bologna (Italian)
Atalanta (Italian),Torino (Italian)
Bologna (Italian),Torino (Italian)
Bologna (Italian),Montreal Impact (USA)
Bologna (Italian),Southampton (English)
Bologna (Italian),Cagliari (Italian)
Bologna (Italian),Internazionale (Italian)
Bologna (Italian),Siena (Italian)
Bologna (Italian),Parma (Italian)
Bologna (Italian),Genoa (Italian)
Bologna (Italian),Levante (Spanish)
Cagliari (Italian),Mjällby AIF (Swedish)
Cagliari (Italian),Atalanta (Italian)
Cagliari (Italian),Beira-Mar (Portuguese)
Catania (Italian),Honvéd (Hungarian)
Catania (Italian),Chievo Verona (Italian)
Catania (Italian),Bologna (Italian)
Catania (Italian),Fiorentina (Italian)
Catania (Italian),Internazionale (Italian)
Cesena (Italian),Torino (Italian)
Cesena (Italian),Chievo Verona (Italian)
Cesena (Italian),Torino (Italian)
Cesena (Italian),Ajaccio (French)
Cesena (Italian),Parma (Italian)
Cesena (Italian),Palermo (Italian)
Cesena (Italian),Parma (Italian)
Chievo Verona (Italian),Roma (Italian)
Chievo Verona (Italian),Bologna (Italian)
Chievo Verona (Italian),Palermo (Italian)
Fiorentina (Italian),Southampton (English)
Fiorentina (Italian),Pescara (Italian)
Fiorentina (Italian),Napoli (Italian)
Fiorentina (Italian),Genoa (Italian)
Fiorentina (Italian),Torino (Italian)
Fiorentina (Italian),Genoa (Italian)
Fiorentina (Italian),Parma (Italian)
Fiorentina (Italian),Bologna (Italian)
Fiorentina (Italian),Manchester City (English)
Fiorentina (Italian),Genoa (Italian)
Fiorentina (Italian),Catania (Italian)
Fiorentina (Italian),Milan (Italian)
Fiorentina (Italian),Siena (Italian)
Fiorentina (Italian),Udinese (Italian)
Fiorentina (Italian),Bahia (Brazilian)
Fiorentina (Italian),Sampdoria (Italian)
Fiorentina (Italian),Parma (Italian)
Fiorentina (Italian),Napoli (Italian)
Genoa (Italian),Bologna (Italian)
Figueirense (Brazilian),Bologna (Italian)
Genoa (Italian),Dynamo Kiev (Ukrainian)
Genoa (Italian),Internazionale (Italian)
Genoa (Italian),Siena (Italian)
Genoa (Italian),Torino (Italian)
Genoa (Italian),Napoli (Italian)
Genoa (Italian),Fiorentina (Italian)
Genoa (Italian),Bursaspor (Turkish)
Genoa (Italian),Milan (Italian)
Genoa (Italian),Chievo Verona (Italian)
Genoa (Italian),Pescara (Italian)
Genoa (Italian),Bologna (Italian)
Genoa (Italian),Atalanta (Italian)
Internazionale (Italian),Queens Park Rangers (English)
Internazionale (Italian),Milan (Italian)
Internazionale (Italian),Internacional (Brazilian)
Internazionale (Italian),Galatasaray (Turkish)
Internazionale (Italian),Manchester City (English)
Internazionale (Italian),Sampdoria (Italian)
Internazionale (Italian),Sampdoria (Italian)
Internazionale (Italian),Lazio (Italian)
Internazionale (Italian),FC Twente (Dutch)
Internazionale (Italian),Parma (Italian)
Internazionale (Italian),Udinese (Italian)
Internacional (Brazilian),Internazionale (Italian)
Internazionale (Italian),Espanyol (Spanish)
Internazionale (Italian),Atalanta (Italian)
Juventus (Italian),Sydney FC (Australian)
Juventus (Italian),Augsburg (German)
Juventus (Italian),Werder Bremen (German)
Juventus (Italian),Genoa (Italian)
Juventus (Italian),Fenerbahçe (Turkish)
Juventus (Italian),Sampdoria (Italian)
Lazio (Italian),Atalanta (Italian)
Lazio (Italian),Internazionale (Italian)
Lazio (Italian),Genoa (Italian)
Lazio (Italian),Norwich City (English)
Lazio (Italian),Pescara (Italian)
Lecce (Italian),Fiorentina (Italian)
Lecce (Italian),Racing Club (Argentinian)
Lecce (Italian),San Lorenzo (Argentinian)
Lecce (Italian),Udinese (Italian)
Lecce (Italian),Pescara (Italian)
Lecce (Italian),Atalanta (Italian)
Lecce (Italian),Fiorentina (Italian)
Lecce (Italian),Genoa (Italian)
Milan (Italian),PSV Eindhoven (Dutch)
Milan (Italian),Botafogo (Brazilian)
Milan (Italian),Paris Saint-Germain (French)
Milan (Italian),Montreal Impact (USA)
Milan (Italian),Parma (Italian)
Milan (Italian),Fiorentina (Italian)
Milan (Italian),Sampdoria (Italian)
Milan (Italian),Parma (Italian)
Milan (Italian),Fulham (English)
Milan (Italian),Paris Saint-Germain (French)
Milan (Italian),Udinese (Italian)
Milan (Italian),Zaragoza (Spanish)
Milan (Italian),Internazionale (Italian)
Napoli (Italian),Palermo (Italian)
Napoli (Italian),Palermo (Italian)
Napoli (Italian),Getafe (Spanish)
Napoli (Italian),Paris Saint-Germain (French)
Napoli (Italian),Internazionale (Italian)
Novara (Italian),Chievo Verona (Italian)
Novara (Italian),FC København (Danish)
Novara (Italian),Genoa (Italian)
Novara (Italian),Udinese (Italian)
Palmeiras (Brazilian),Udinese (Italian)
Novara (Italian),Palermo (Italian)
Novara (Italian),Atalanta (Italian)
Novara (Italian),Siena (Italian)
Novara (Italian),Palermo (Italian)
Palermo (Italian),Fiorentina (Italian)
Palermo (Italian),Internazionale (Italian)
Palermo (Italian),Siena (Italian)
Palermo (Italian),Fiorentina (Italian)
Palermo (Italian),Atalanta (Italian)
Palermo (Italian),1899 Hoffenheim (German)
Palermo (Italian),Genoa (Italian)
Palermo (Italian),Genoa (Italian)
Palermo (Italian),Roma (Italian)
Parma (Italian),Internazionale (Italian)
Parma (Italian),Milan (Italian)
Parma (Italian),Juventus (Italian)
Parma (Italian),Lazio (Italian)
Parma (Italian),Roda JC (Dutch)
Parma (Italian),Pescara (Italian)
Parma (Italian),Siena (Italian)
Roma (Italian),Sport Recife (Brazilian)
Roma (Italian),Real Sociedad (Spanish)
Roma (Italian),Internacional (Brazilian)
Roma (Italian),Newell's Old Boys (Argentinian)
Fluminense (Brazilian),Roma (Italian)
Roma (Italian),Milan (Italian)
Roma (Italian),Bologna (Italian)
Roma (Italian),Standard Ličge (Belgian)
Roma (Italian),Olympiakos (Greek)
Roma (Italian),Cerezo Osaka (Japanese)
Roma (Italian),Liverpool (English)
Roma (Italian),VfL Wolfsburg (German)
Roma (Italian),Parma (Italian)
Roma (Italian),Siena (Italian)
Siena (Italian),Udinese (Italian)
Siena (Italian),Atalanta (Italian)
Siena (Italian),Atalanta (Italian)
Siena (Italian),Fiorentina (Italian)
Siena (Italian),Pescara (Italian)
Siena (Italian),Napoli (Italian)
Siena (Italian),Cagliari (Italian)
Siena (Italian),Torino (Italian)
Siena (Italian),Roma (Italian)
Siena (Italian),Atalanta (Italian)
Siena (Italian),Atalanta (Italian)
Udinese (Italian),Internazionale (Italian)
Udinese (Italian),Juventus (Italian)
Udinese (Italian),Bologna (Italian)
Udinese (Italian),Torino (Italian)
Udinese (Italian),Olympiakos (Greek)
Udinese (Italian),Parma (Italian)
Udinese (Italian),Juventus (Italian)
Udinese (Italian),Granada (Spanish)
Udinese (Italian),Napoli (Italian)
Udinese (Italian),Palermo (Italian)
Udinese (Italian),Genoa (Italian)
Udinese (Italian),Chievo Verona (Italian)
Udinese (Italian),Genoa (Italian)
Amkar Perm (Russian),Karpaty Lviv (Ukrainian)
Anzhi Makhachkala (Russian),Alania Vladikavkaz (Russian)
Anzhi Makhachkala (Russian),Krylia Sovetov (Russian)
Anzhi Makhachkala (Russian),Krylia Sovetov (Russian)
Anzhi Makhachkala (Russian),FC Rostov (Russian)
Anzhi Makhachkala (Russian),Krylia Sovetov (Russian)
Anzhi Makhachkala (Russian),Queens Park Rangers (English)
Anzhi Makhachkala (Russian),Krylia Sovetov (Russian)
Anzhi Makhachkala (Russian),Mordovia Saransk (Russian)
Anzhi Makhachkala (Russian),Alania Vladikavkaz (Russian)
Anzhi Makhachkala (Russian),Tavriya Simferopol (Ukrainian)
CSKA Moscow (Russian),Alania Vladikavkaz (Russian)
CSKA Moscow (Russian),Mordovia Saransk (Russian)
CSKA Moscow (Russian),PAOK (Greek)
CSKA Moscow (Russian),Anzhi Makhachkala (Russian)
Dynamo Moscow (Russian),Mordovia Saransk (Russian)
Dynamo Moscow (Russian),Fortuna Düsseldorf (German)
Dynamo Moscow (Russian),Lokomotiv Moscow (Russian)
Dynamo Moscow (Russian),Anzhi Makhachkala (Russian)
Dynamo Moscow (Russian),Chornomorets Odessa (Ukrainian)
FC Krasnodar (Russian),Krylia Sovetov (Russian)
FC Krasnodar (Russian),Amkar Perm (Russian)
FC Krasnodar (Russian),Spartak Moscow (Russian)
FC Krasnodar (Russian),Alania Vladikavkaz (Russian)
FC Krasnodar (Russian),Terek Grozny (Russian)
Krylia Sovetov (Russian),Mordovia Saransk (Russian)
Krylia Sovetov (Russian),Kryvbas Kryvyi Rih (Ukrainian)
Krylia Sovetov (Russian),Spartak Moscow (Russian)
Krylia Sovetov (Russian),FC Krasnodar (Russian)
Kuban Krasnodar (Russian),Anzhi Makhachkala (Russian)
Lokomotiv Moscow (Russian),Kasımpaşa (Turkish)
Lokomotiv Moscow (Russian),Terek Grozny (Russian)
Lokomotiv Moscow (Russian),FC Krasnodar (Russian)
Lokomotiv Moscow (Russian),Nacional (Portuguese)
Lokomotiv Moscow (Russian),FC Krasnodar (Russian)
Lokomotiv Moscow (Russian),Anzhi Makhachkala (Russian)
Lokomotiv Moscow (Russian),FC Rostov (Russian)
FC Rostov (Russian),All Boys (Argentinian)
FC Rostov (Russian),Zagłębie Lubin (Polish)
FC Rostov (Russian),Dynamo Moscow (Russian)
FC Rostov (Russian),FC Krasnodar (Russian)
FC Rostov (Russian),Illichivets Mariupol (Ukrainian)
FC Rostov (Russian),Spartak Moscow (Russian)
Rubin Kazan (Russian),Krylia Sovetov (Russian)
Rubin Kazan (Russian),Valencia (Spanish)
Rubin Kazan (Russian),Spartak Moscow (Russian)
Rubin Kazan (Russian),Dynamo Moscow (Russian)
Spartak Moscow (Russian),FC Rostov (Russian)
Spartak Moscow (Russian),Rayo Vallecano (Spanish)
Spartak Moscow (Russian),FC Rostov (Russian)
Spartak Moscow (Russian),Terek Grozny (Russian)
Spartak Moscow (Russian),Anderlecht (Belgian)
Spartak Moscow (Russian),Sporting CP (Portuguese)
Spartak Nalchik (Russian),Terek Grozny (Russian)
Terek Grozny (Russian),Alania Vladikavkaz (Russian)
Grêmio (Brazilian),Terek Grozny (Russian)
Terek Grozny (Russian),Amkar Perm (Russian)
Terek Grozny (Russian),Volga Nizhny Novgorod (Russian)
Terek Grozny (Russian),Volga Nizhny Novgorod (Russian)
Tom Tomsk (Russian),Amkar Perm (Russian)
Tom Tomsk (Russian),FC Rostov (Russian)
Tom Tomsk (Russian),Krylia Sovetov (Russian)
Tom Tomsk (Russian),Dynamo Moscow (Russian)
Tom Tomsk (Russian),FC Krasnodar (Russian)
Tom Tomsk (Russian),FC Rostov (Russian)
Tom Tomsk (Russian),Krylia Sovetov (Russian)
Tom Tomsk (Russian),Krylia Sovetov (Russian)
Tom Tomsk (Russian),Volga Nizhny Novgorod (Russian)
Volga Nizhny Novgorod (Russian),Dynamo Moscow (Russian)
Volga Nizhny Novgorod (Russian),Pécs (Hungarian)
Volga Nizhny Novgorod (Russian),FC Rostov (Russian)
Volga Nizhny Novgorod (Russian),Krylia Sovetov (Russian)
Zenit St. Petersburg (Russian),FC Rostov (Russian)
Zenit St. Petersburg (Russian),Siena (Italian)
Zenit St. Petersburg (Russian),Hannover 96 (German)
Zenit St. Petersburg (Russian),Arsenal (English)
Zenit St. Petersburg (Russian),Amkar Perm (Russian)
Chicago Fire (USA),Real Salt Lake (USA)
Chicago Fire (USA),Atlético Rafaela (Argentinian)
Chicago Fire (USA),SC Heerenveen (Dutch)
Chivas USA (USA),Los Angeles Galaxy (USA)
Chivas USA (USA),New York Red Bulls (USA)
Chivas USA (USA),Sporting Kansas City (USA)
Chivas USA (USA),Philadelphia Union (USA)
Chivas USA (USA),Real Salt Lake (USA)
Chivas USA (USA),New England Revolution (USA)
Chivas USA (USA),Los Angeles Galaxy (USA)
Colorado Rapids (USA),Houston Dynamo (USA)
Colorado Rapids (USA),Toronto FC (USA)
Colorado Rapids (USA),Chicago Fire (USA)
Colorado Rapids (USA),Montreal Impact (USA)
Colorado Rapids (USA),Portland Timbers (USA)
Columbus Crew (USA),Molde (Norwegian)
Columbus Crew (USA),Montreal Impact (USA)
Columbus Crew (USA),Philadelphia Union (USA)
FC Dallas (USA),Waasland-Beveren (Belgian)
FC Dallas (USA),D.C. United (USA)
FC Dallas (USA),Toronto FC (USA)
FC Dallas (USA),San Jose Earthquakes (USA)
FC Dallas (USA),Stoke City (English)
FC Dallas (USA),Toronto FC (USA)
D.C. United (USA),Seattle Sounders (USA)
D.C. United (USA),Rapid Vienna (Austrian)
D.C. United (USA),Randers (Danish)
Sochaux (French),Randers (Danish)
D.C. United (USA),San Jose Earthquakes (USA)
D.C. United (USA),Anderlecht (Belgian)
D.C. United (USA),New York Red Bulls (USA)
D.C. United (USA),New England Revolution (USA)
Houston Dynamo (USA),Philadelphia Union (USA)
Houston Dynamo (USA),Stoke City (English)
Houston Dynamo (USA),Colorado Rapids (USA)
Houston Dynamo (USA),San Jose Earthquakes (USA)
Houston Dynamo (USA),Veria (Greek)
Houston Dynamo (USA),Ross County (Scottish)
Los Angeles Galaxy (USA),Portland Timbers (USA)
Los Angeles Galaxy (USA),Paris Saint-Germain (French)
Los Angeles Galaxy (USA),Chivas USA (USA)
New England Revolution (USA),Real Salt Lake (USA)
New England Revolution (USA),Pescara (Italian)
New York Red Bulls (USA),Philadelphia Union (USA)
New York Red Bulls (USA),San Jose Earthquakes (USA)
New York Red Bulls (USA),Chivas USA (USA)
New York Red Bulls (USA),Vancouver Whitecaps (USA)
New York Red Bulls (USA),Columbus Crew (USA)
Philadelphia Union (USA),Chivas USA (USA)
Philadelphia Union (USA),New York Red Bulls (USA)
Philadelphia Union (USA),Portland Timbers (USA)
Philadelphia Union (USA),Los Angeles Galaxy (USA)
Philadelphia Union (USA),Montreal Impact (USA)
Portland Timbers (USA),Montreal Impact (USA)
Portland Timbers (USA),D.C. United (USA)
Portland Timbers (USA),FC Dallas (USA)
Portland Timbers (USA),New York Red Bulls (USA)
Real Salt Lake (USA),Chivas USA (USA)
Real Salt Lake (USA),D.C. United (USA)
Real Salt Lake (USA),San Jose Earthquakes (USA)
Real Salt Lake (USA),Montreal Impact (USA)
Real Salt Lake (USA),Chivas USA (USA)
San Jose Earthquakes (USA),Chivas USA (USA)
San Jose Earthquakes (USA),FC Dallas (USA)
San Jose Earthquakes (USA),Aston Villa (English)
San Jose Earthquakes (USA),Seattle Sounders (USA)
Seattle Sounders (USA),Portland Timbers (USA)
Seattle Sounders (USA),Colorado Rapids (USA)
Seattle Sounders (USA),Malmö FF (Swedish)
Seattle Sounders (USA),Chicago Fire (USA)
Seattle Sounders (USA),Los Angeles Galaxy (USA)
Seattle Sounders (USA),Montreal Impact (USA)
Sporting Kansas City (USA),Montreal Impact (USA)
Sporting Kansas City (USA),Bahia (Brazilian)
Sporting Kansas City (USA),Wigan Athletic (English)
Toronto FC (USA),Houston Dynamo (USA)
Vancouver Whitecaps (USA),Wellington Phoenix (Australian)
Vancouver Whitecaps (USA),RAEC Mons (Belgian)
Vancouver Whitecaps (USA),Chivas USA (USA)
Vancouver Whitecaps (USA),Montreal Impact (USA)
Vancouver Whitecaps (USA),Chicago Fire (USA)
Vancouver Whitecaps (USA),San Jose Earthquakes (USA)
Vancouver Whitecaps (USA),D.C. United (USA)
Vancouver Whitecaps (USA),Toronto FC (USA)
Admira Wacker Mödling (Austrian),Admira Wacker Mφdling (Austrian)
Admira Wacker Mödling (Austrian),Admira Wacker Mφdling (Austrian)
Admira Wacker Mödling (Austrian),Admira Wacker Mφdling (Austrian)
Admira Wacker Mödling (Austrian),Admira Wacker Mφdling (Austrian)
Admira Wacker Mödling (Austrian),Admira Wacker Mφdling (Austrian)
Admira Wacker Mödling (Austrian),Admira Wacker Mφdling (Austrian)
Admira Wacker Mödling (Austrian),Admira Wacker Mφdling (Austrian)
Admira Wacker Mödling (Austrian),Admira Wacker Mφdling (Austrian)
Admira Wacker Mödling (Austrian),Admira Wacker Mφdling (Austrian)
Admira Wacker Mödling (Austrian),Admira Wacker Mφdling (Austrian)
Admira Wacker Mödling (Austrian),Admira Wacker Mφdling (Austrian)
Admira Wacker Mödling (Austrian),Admira Wacker Mφdling (Austrian)
Admira Wacker Mödling (Austrian),Austria Vienna (Austrian)
Admira Wacker Mödling (Austrian),Red Bull Salzburg (Austrian)
Admira Wacker Mödling (Austrian),Admira Wacker Mφdling (Austrian)
Admira Wacker Mödling (Austrian),Admira Wacker Mφdling (Austrian)
Admira Wacker Mödling (Austrian),Admira Wacker Mφdling (Austrian)
Admira Wacker Mödling (Austrian),Rapid Vienna (Austrian)
Admira Wacker Mödling (Austrian),Admira Wacker Mφdling (Austrian)
Admira Wacker Mödling (Austrian),Admira Wacker Mφdling (Austrian)
Austria Vienna (Austrian),SC Wiener Neustadt (Austrian)
Austria Vienna (Austrian),SC Wiener Neustadt (Austrian)
Austria Vienna (Austrian),Red Bull Salzburg (Austrian)
Austria Vienna (Austrian),Wolfsberger AC (Austrian)
Austria Vienna (Austrian),SC Wiener Neustadt (Austrian)
SV Kapfenberg (Austrian),Werder Bremen (German)
SV Kapfenberg (Austrian),1899 Hoffenheim (German)
SV Kapfenberg (Austrian),SV Mattersburg (Austrian)
SV Kapfenberg (Austrian),Amkar Perm (Russian)
SV Kapfenberg (Austrian),Diósgyőr (Hungarian)
SV Kapfenberg (Austrian),Rapid Vienna (Austrian)
SV Mattersburg (Austrian),Red Bull Salzburg (Austrian)
SV Mattersburg (Austrian),Kaposvár (Hungarian)
Rapid Vienna (Austrian),Eskişehirspor (Turkish)
Rapid Vienna (Austrian),Wolfsberger AC (Austrian)
Rapid Vienna (Austrian),SV Ried (Austrian)
Red Bull Salzburg (Austrian),Újpest (Hungarian)
Red Bull Salzburg (Austrian),Aarhus (Danish)
Red Bull Salzburg (Austrian),Dynamo Moscow (Russian)
Red Bull Salzburg (Austrian),Vitesse (Dutch)
Red Bull Salzburg (Austrian),VVV Venlo (Dutch)
Red Bull Salzburg (Austrian),FC Groningen (Dutch)
Red Bull Salzburg (Austrian),Ferencváros (Hungarian)
Red Bull Salzburg (Austrian),SC Wiener Neustadt (Austrian)
